fecha,Precios al Consumidor (INPC),Subyacente,"Subyacente, Mercancias","Subyacente, Servicios","Subyacente, Servicios, Vivienda","Subyacente, Servicios, Educacion (colegiaturas)","Subyacente, Servicios, Otros servicios",No subyacente,"No subyacente, Agropecuarios","No subyacente, Agropecuarios, Frutas y verduras","No subyacente, Agropecuarios, Pecuarios","No subyacente, Energeticos y tarifas autorizadas por el gobierno","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Energeticos","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno"
15/09/2013,82.13684717,84.87803537,82.80047834,86.69775508,89.37320976,83.23796663,85.02578485,74.20293439,76.85976731,72.81892764,79.38613792,72.63963558,68.61152022,80.80575437
01/10/2013,82.46664463,84.99351602,82.91226114,86.81647466,89.44891683,83.23799227,85.22543281,75.15513223,76.13100632,71.90035357,78.77604982,74.58092119,71.49725807,80.83237062
15/10/2013,82.57933169,85.06184986,82.87084728,86.98093585,89.49161343,83.23799227,85.56580383,75.39405427,76.6683245,73.97796997,78.35035921,74.64426487,71.53025671,80.95723218
01/11/2013,83.2817477,85.15671458,82.8957378,87.13709054,89.57925766,83.24715299,85.8378197,77.85739567,78.46287685,78.43875194,78.47795997,77.50112637,75.76942226,81.01177595
15/11/2013,83.30203137,85.12861375,82.84660516,87.12741135,89.67330309,83.24715299,85.71872956,78.01710217,78.87206135,79.10945242,78.72364224,77.51403828,75.77903438,81.03137747
01/12/2013,83.63783881,85.38807167,83.0816206,87.40827828,89.7461467,83.24715299,86.300091,78.57295821,79.50112601,80.02771525,79.17189751,78.02681787,76.33994246,81.44658712
15/12/2013,83.90302903,85.45536702,83.25180603,87.38545283,89.79963473,83.24715299,86.1918992,79.411025,80.70351151,81.85623311,79.98281923,78.65051702,76.39078271,83.23163181
01/01/2014,84.47022057,86.04594386,84.19905573,87.66362207,89.90060084,83.50838895,86.65710931,79.90919386,79.94498852,78.45394485,80.87720291,79.88813203,77.76515614,84.19199919
15/01/2014,84.56788269,86.25385439,84.23664351,88.02071727,90.03168565,83.66201177,87.3091547,79.6879074,79.17916512,76.52454186,80.83886031,79.98725487,77.80452226,84.41226563
01/02/2014,84.66854979,86.35607006,84.31822902,88.14100277,90.12398944,83.82436565,87.44510251,79.7863857,78.7018384,75.46921798,80.72290279,80.42454081,78.41606104,84.49629223
15/02/2014,84.79701304,86.42904999,84.32959196,88.26795265,90.23871255,83.84600738,87.61724767,80.07467306,79.2983384,76.20859264,81.23007622,80.53147373,78.50876537,84.63207048
01/03/2014,84.94350622,86.52199321,84.43629097,88.34884726,90.31821695,83.84600738,87.72465076,80.37711598,79.76182557,76.95853721,81.51446756,80.73915711,78.86374671,84.54113961
15/03/2014,84.9863273,86.63424554,84.51996415,88.4861319,90.3746646,83.86247913,87.98232445,80.21694706,79.3649847,75.35380597,81.87281101,80.71824759,78.93622262,84.33091166
01/04/2014,84.82856542,86.86176078,84.64636558,88.80221211,90.45506023,83.87006399,88.63584303,78.94447719,78.8524483,73.18572038,82.39533937,78.99862762,76.33478304,84.3989872
15/04/2014,84.78574434,86.79841294,84.70368917,88.63316889,90.52793502,83.88020098,88.16306226,78.96063377,78.4905049,70.79640667,83.30092678,79.23726084,76.5049485,84.77642375
01/05/2014,84.47322555,86.84674251,84.81546502,88.62592624,90.61263712,83.93007436,88.04378515,77.60431996,79.13767216,69.91195322,84.90567758,76.70208495,72.65178869,84.91317065
15/05/2014,84.59868382,86.9763667,85.00173552,88.70593427,90.68127388,83.97139818,88.14745328,77.7169581,79.45133975,68.76695731,86.13131517,76.69643598,72.63424238,84.93164093
01/06/2014,84.6670473,87.07704084,85.08066545,88.82565404,90.77867392,84.05735244,88.30053996,77.69306497,79.07033531,67.89066056,86.0599721,76.8826696,72.90390002,84.94875068
15/06/2014,84.69709718,87.11546711,85.02796753,88.94389545,90.8400572,84.08147685,88.50629346,77.69787753,78.88175771,68.08192207,85.63391555,77.00127427,73.05588548,84.99968313
01/07/2014,84.86462528,87.23757786,85.00985148,89.18883,90.90217834,84.11074977,89.00564236,77.99700826,79.25786297,69.50238196,85.35708056,77.25511265,73.40424616,85.06189831
15/07/2014,84.96529239,87.28231807,85.02847336,89.25644709,90.96152402,84.15523653,89.08891681,78.25938946,79.92363905,70.605664,85.74932384,77.28013353,73.43394451,85.07743665
01/08/2014,85.12605926,87.41060741,85.37035796,89.19764964,91.03970755,84.82746358,88.66292993,78.51560957,80.43842224,70.52086362,86.63897226,77.38421334,73.55602773,85.14501852
15/08/2014,85.31311978,87.47982441,85.42555602,89.27914573,91.11171675,84.97156152,88.73474812,79.04253949,81.84925231,72.53845539,87.67044927,77.39105031,73.50682186,85.26547002
01/09/2014,85.5895787,87.68898143,85.62792911,89.49424477,91.19003349,86.8209638,88.58343646,79.51551603,82.83118197,73.85351619,88.44410224,77.56455532,73.76383033,85.26969012
15/09/2014,85.60310115,87.71385448,85.71593954,89.46381617,91.30289081,86.823183,88.39588976,79.49488714,82.72991881,73.32372718,88.61075743,77.5913722,73.79605333,85.28554727
01/10/2014,86.02905824,87.81539792,85.78079603,89.59749348,91.35659876,86.823183,88.65305482,80.85839191,82.62525033,73.21092527,88.51117404,79.81876023,77.11672369,85.29654561
15/10/2014,86.11019292,87.87957359,85.85120178,89.65621226,91.41355161,86.823183,88.73179165,80.9911016,83.10784067,74.58367138,88.43723071,79.74559774,76.97814004,85.35601013
